country,messages_billed_us,minutes_billed_us,us_revenue_billed_us,payout_billed_us,retained_revenue_billed_us,messages_term_us,minutes_term_us,reciepts_foreign_term_us,reciepts_foreign_trans_us,payout_trans_us,retained_revenue_trans_us,retained_revenue_total,latitude,longitude,region,symsize,gid,sum_region,pct_country,pct_region,geom
U.S. Virgin Islands,4172874,20162431,193860,180749,13111,,333554,3085,95978,22713,73265,89461,18.335765,-64.896335,Caribean,5,110,3779061301,0.53,99.47,
Albania,3593027,22513517,2503191,2432157,71034,35901,3288688,88370,27840,182,27658,187062,41.153332,20.168331,Eastern Europe,5,111,1670724339,1.35,98.65,
Armenia,4044002,24613569,2012425,2259462,-247037,13317,279606,16630,1289,171,1118,-229289,40.069099,45.038189,Eastern Europe,5,112,1670724339,1.47,98.53,
Belarus,3433252,15666338,3950381,5424533,-1474152,36763,369280,30163,2642,1091,1551,-1442438,53.709807,27.953389,Eastern Europe,5,114,1670724339,0.94,99.06,
Bosnia and Herzegovina,3049408,22871919,3790550,2991984,798566,196346,1829948,99022,241508,59,241449,1139037,43.915886,17.679076,Eastern Europe,5,115,1670724339,1.37,98.63,
Nauru,53156,157030,93539,63705,29834,,2676,2192,60,8,52,32078,-0.522778,166.931503,Oceania,7,169,770323435,0.02,99.98,
Estonia,4564510,14938650,5256864,4064116,1192748,236668,1424371,147253,903,387,516,1340517,58.595272,25.013607,Eastern Europe,5,119,1670724339,0.89,99.11,
Georgia,3842609,14306866,1192953,750008,442945,684139,1435003,14507,695,553,142,457594,42.315407,43.356892,Eastern Europe,5,120,1670724339,0.86,99.14,
Latvia,2780308,18388257,7609384,5729349,1880035,163270,1170885,49899,141392,180,141212,2071146,56.879635,24.603189,Eastern Europe,5,124,1670724339,1.10,98.90,
Lithuania,1777867,15618002,5184264,3697064,1487200,108056,1018359,13685,119678,156,119522,1620407,55.169438,23.881275,Eastern Europe,5,125,1670724339,0.93,99.07,
Moldova,3936651,12287634,1535876,1629881,-94005,4848,85409,8226,293717,6922,286795,201016,47.411631,28.369885,Eastern Europe,5,126,1670724339,0.74,99.26,
Slovakia,2082189,15882894,2445636,686865,1758771,1123418,6107766,61795,600033,1025,599008,2419574,48.669026,19.699024,Eastern Europe,5,131,1670724339,0.95,99.05,
Slovenia,2354596,15653727,4690741,3940220,750521,413368,2287076,91690,99986,111,99875,942086,46.151241,14.995463,Eastern Europe,5,132,1670724339,0.94,99.06,
Bahrain,4272525,18743064,1865267,790590,1074677,3722663,12388966,101166,724229,68190,656039,1831882,26.0667,50.5577,Middle East,5,137,1425303635,1.32,98.68,
Oman,6063389,19695880,4392531,4016053,376478,1076267,4393861,66670,57502,29988,27514,470662,21.512583,55.923255,Middle East,5,144,1425303635,1.38,98.62,
United States (conterminous),2331282,15441168,784435,225120,559315,16662605,60081274,21798,0,0,0,581113,38.1132523,-121.4955075,North and Central America,5,161,18915487279,0.08,99.92,
Fiji,2317031,14139729,2485751,2284746,201005,154502,2212936,244008,8710,80,8630,453643,-17.713371,178.065032,Oceania,5,164,770323435,1.84,98.16,
Federated States of Micronesia,2372128,15150035,2994327,1666916,1327411,32130,515341,6791,240,73,167,1334369,6.8874574,158.2150717,Oceania,5,168,770323435,1.97,98.03,
Papua New Guinea,3651951,16978460,3137319,2349108,788211,,249391,115829,284,723,-439,903601,-6.314993,143.95555,Oceania,5,175,770323435,2.20,97.80,
Northern Mariana Islands,1954699,14256912,308346,199160,109186,,1136,24,2303,12,2291,111501,15.0979,145.6739,Oceania,5,191,770323435,1.85,98.15,
Cyprus,2349961,13412584,851303,335534,515769,1310390,7286076,74883,205465,20113,185352,776004,35.126413,33.429859,Western Europe,5,226,6219503114,0.22,99.78,
Luxembourg,6340709,24049203,1510384,674381,836003,4792304,32958468,366390,6104760,318,6104442,7306835,49.815273,6.129583,Western Europe,5,238,6219503114,0.39,99.61,
Benin,2063513,7661617,1267435,1104536,162899,121423,871898,42145,165389,92,165297,370341,9.30769,2.315834,Africa,6,3,2382080338,0.32,99.68,
Burundi,1369885,8399868,749822,550406,199416,,524848,34592,51314,1824,49490,283498,-3.373056,29.918886,Africa,6,6,2382080338,0.35,99.65,
